Total nacional;Ocio, recreo y vacaciones;2020M02;3138533
Total nacional;Ocio, recreo y vacaciones;2020M01;2890927
Total nacional;Ocio, recreo y vacaciones;2019M12;2933831
Total nacional;Ocio, recreo y vacaciones;2019M11;3236267
Total nacional;Ocio, recreo y vacaciones;2019M10;5680549
Total nacional;Ocio, recreo y vacaciones;2019M09;6638387
Total nacional;Ocio, recreo y vacaciones;2019M08;7141681
Total nacional;Ocio, recreo y vacaciones;2019M07;7222931
Total nacional;Ocio, recreo y vacaciones;2019M06;6711167
Total nacional;Ocio, recreo y vacaciones;2019M05;5957031
Total nacional;Ocio, recreo y vacaciones;2019M04;5155309
Total nacional;Ocio, recreo y vacaciones;2019M03;4010599
Total nacional;Ocio, recreo y vacaciones;2019M02;3036792
Total nacional;Ocio, recreo y vacaciones;2019M01;2994830
Total nacional;Otros motivos;2022M02;197992
Total nacional;Otros motivos;2022M01;234137
Total nacional;Otros motivos;2021M12;219059
Total nacional;Otros motivos;2021M11;183396
Total nacional;Otros motivos;2021M10;230283
Total nacional;Otros motivos;2021M09;184389
Total nacional;Otros motivos;2021M08;192443
Total nacional;Otros motivos;2021M07;231638
Total nacional;Otros motivos;2021M06;165401
Total nacional;Otros motivos;2021M05;107465
Total nacional;Otros motivos;2021M04;72678
Total nacional;Otros motivos;2021M03;56470
Total nacional;Otros motivos;2021M02;29609
Total nacional;Otros motivos;2021M01;48384
Total nacional;Otros motivos;2020M12;73246
Total nacional;Otros motivos;2020M11;40152
Total nacional;Otros motivos;2020M10;58319
Total nacional;Otros motivos;2020M09;59710
Total nacional;Otros motivos;2020M08;93783
Total nacional;Otros motivos;2020M07;113619
Total nacional;Otros motivos;2020M06;8184
Total nacional;Otros motivos;2020M05;
Total nacional;Otros motivos;2020M04;
Total nacional;Otros motivos;2020M03;123260
Total nacional;Otros motivos;2020M02;267434
Total nacional;Otros motivos;2020M01;237537
Total nacional;Otros motivos;2019M12;233758
Total nacional;Otros motivos;2019M11;222911
Total nacional;Otros motivos;2019M10;237859
Total nacional;Otros motivos;2019M09;227056
Total nacional;Otros motivos;2019M08;222870
Total nacional;Otros motivos;2019M07;283524
Total nacional;Otros motivos;2019M06;289749
Total nacional;Otros motivos;2019M05;310547
Total nacional;Otros motivos;2019M04;336576
Total nacional;Otros motivos;2019M03;322193
Total nacional;Otros motivos;2019M02;263185
Total nacional;Otros motivos;2019M01;266479
01 Andalucía;Total de motivos del viaje;2022M02;365419
01 Andalucía;Total de motivos del viaje;2022M01;280833
01 Andalucía;Total de motivos del viaje;2021M12;291912
01 Andalucía;Total de motivos del viaje;2021M11;436723
01 Andalucía;Total de motivos del viaje;2021M10;720991
01 Andalucía;Total de motivos del viaje;2021M09;612364
01 Andalucía;Total de motivos del viaje;2021M08;550318
01 Andalucía;Total de motivos del viaje;2021M07;466385
01 Andalucía;Total de motivos del viaje;2021M06;246668
01 Andalucía;Total de motivos del viaje;2021M05;136799
01 Andalucía;Total de motivos del viaje;2021M04;71385
01 Andalucía;Total de motivos del viaje;2021M03;37391
01 Andalucía;Total de motivos del viaje;2021M02;18276
01 Andalucía;Total de motivos del viaje;2021M01;33154
01 Andalucía;Total de motivos del viaje;2020M12;39255
01 Andalucía;Total de motivos del viaje;2020M11;36086
01 Andalucía;Total de motivos del viaje;2020M10;104394
01 Andalucía;Total de motivos del viaje;2020M09;108219
01 Andalucía;Total de motivos del viaje;2020M08;241367
01 Andalucía;Total de motivos del viaje;2020M07;266573
01 Andalucía;Total de motivos del viaje;2020M06;8107
01 Andalucía;Total de motivos del viaje;2020M05;.
01 Andalucía;Total de motivos del viaje;2020M04;.
01 Andalucía;Total de motivos del viaje;2020M03;250275
01 Andalucía;Total de motivos del viaje;2020M02;518165
01 Andalucía;Total de motivos del viaje;2020M01;478609
01 Andalucía;Total de motivos del viaje;2019M12;456538
01 Andalucía;Total de motivos del viaje;2019M11;503826
01 Andalucía;Total de motivos del viaje;2019M10;1041156
01 Andalucía;Total de motivos del viaje;2019M09;1081122
01 Andalucía;Total de motivos del viaje;2019M08;990964
01 Andalucía;Total de motivos del viaje;2019M07;1044930
01 Andalucía;Total de motivos del viaje;2019M06;1063452
01 Andalucía;Total de motivos del viaje;2019M05;1042311
01 Andalucía;Total de motivos del viaje;2019M04;923722
01 Andalucía;Total de motivos del viaje;2019M03;669072
01 Andalucía;Total de motivos del viaje;2019M02;497801
01 Andalucía;Total de motivos del viaje;2019M01;453985
01 Andalucía;Negocios y otros motivos profesionales;2022M02;23742
01 Andalucía;Negocios y otros motivos profesionales;2022M01;12384
01 Andalucía;Negocios y otros motivos profesionales;2021M12;27191
01 Andalucía;Negocios y otros motivos profesionales;2021M11;25122
01 Andalucía;Negocios y otros motivos profesionales;2021M10;37409
01 Andalucía;Negocios y otros motivos profesionales;2021M09;34416
01 Andalucía;Negocios y otros motivos profesionales;2021M08;24727
01 Andalucía;Negocios y otros motivos profesionales;2021M07;22727
01 Andalucía;Negocios y otros motivos profesionales;2021M06;33457
01 Andalucía;Negocios y otros motivos profesionales;2021M05;27625
01 Andalucía;Negocios y otros motivos profesionales;2021M04;25107
01 Andalucía;Negocios y otros motivos profesionales;2021M03;19218
01 Andalucía;Negocios y otros motivos profesionales;2021M02;7890
01 Andalucía;Negocios y otros motivos profesionales;2021M01;8244
01 Andalucía;Negocios y otros motivos profesionales;2020M12;14147
01 Andalucía;Negocios y otros motivos profesionales;2020M11;8947
01 Andalucía;Negocios y otros motivos profesionales;2020M10;13654
01 Andalucía;Negocios y otros motivos profesionales;2020M09;9631
01 Andalucía;Negocios y otros motivos profesionales;2020M08;5161
01 Andalucía;Negocios y otros motivos profesionales;2020M07;20416
01 Andalucía;Negocios y otros motivos profesionales;2020M06;.
01 Andalucía;Negocios y otros motivos profesionales;2020M05;
01 Andalucía;Negocios y otros motivos profesionales;2020M04;
01 Andalucía;Negocios y otros motivos profesionales;2020M03;.
01 Andalucía;Negocios y otros motivos profesionales;2020M02;39154
01 Andalucía;Negocios y otros motivos profesionales;2020M01;74985
01 Andalucía;Negocios y otros motivos profesionales;2019M12;79729
01 Andalucía;Negocios y otros motivos profesionales;2019M11;62617
01 Andalucía;Negocios y otros motivos profesionales;2019M10;71522
01 Andalucía;Negocios y otros motivos profesionales;2019M09;83740
01 Andalucía;Negocios y otros motivos profesionales;2019M08;.
01 Andalucía;Negocios y otros motivos profesionales;2019M07;48485
01 Andalucía;Negocios y otros motivos profesionales;2019M06;62650
01 Andalucía;Negocios y otros motivos profesionales;2019M05;95144
01 Andalucía;Negocios y otros motivos profesionales;2019M04;49609
01 Andalucía;Negocios y otros motivos profesionales;2019M03;65245
01 Andalucía;Negocios y otros motivos profesionales;2019M02;61752
01 Andalucía;Negocios y otros motivos profesionales;2019M01;58381
01 Andalucía;Ocio, recreo y vacaciones;2022M02;308142
01 Andalucía;Ocio, recreo y vacaciones;2022M01;227580
01 Andalucía;Ocio, recreo y vacaciones;2021M12;231228
01 Andalucía;Ocio, recreo y vacaciones;2021M11;372633
01 Andalucía;Ocio, recreo y vacaciones;2021M10;632968
01 Andalucía;Ocio, recreo y vacaciones;2021M09;525282
01 Andalucía;Ocio, recreo y vacaciones;2021M08;464352
01 Andalucía;Ocio, recreo y vacaciones;2021M07;366489
01 Andalucía;Ocio, recreo y vacaciones;2021M06;174917
01 Andalucía;Ocio, recreo y vacaciones;2021M05;88388
01 Andalucía;Ocio, recreo y vacaciones;2021M04;30842
01 Andalucía;Ocio, recreo y vacaciones;2021M03;12059
01 Andalucía;Ocio, recreo y vacaciones;2021M02;5587
01 Andalucía;Ocio, recreo y vacaciones;2021M01;13330
01 Andalucía;Ocio, recreo y vacaciones;2020M12;13967
01 Andalucía;Ocio, recreo y vacaciones;2020M11;17590
01 Andalucía;Ocio, recreo y vacaciones;2020M10;73362
01 Andalucía;Ocio, recreo y vacaciones;2020M09;82415
01 Andalucía;Ocio, recreo y vacaciones;2020M08;207277
01 Andalucía;Ocio, recreo y vacaciones;2020M07;212516
01 Andalucía;Ocio, recreo y vacaciones;2020M06;3036
01 Andalucía;Ocio, recreo y vacaciones;2020M05;.
01 Andalucía;Ocio, recreo y vacaciones;2020M04;.
01 Andalucía;Ocio, recreo y vacaciones;2020M03;207208
01 Andalucía;Ocio, recreo y vacaciones;2020M02;414347
01 Andalucía;Ocio, recreo y vacaciones;2020M01;338732
01 Andalucía;Ocio, recreo y vacaciones;2019M12;330971
01 Andalucía;Ocio, recreo y vacaciones;2019M11;388335
01 Andalucía;Ocio, recreo y vacaciones;2019M10;925094
01 Andalucía;Ocio, recreo y vacaciones;2019M09;950043
01 Andalucía;Ocio, recreo y vacaciones;2019M08;923123
01 Andalucía;Ocio, recreo y vacaciones;2019M07;947070
01 Andalucía;Ocio, recreo y vacaciones;2019M06;930754
01 Andalucía;Ocio, recreo y vacaciones;2019M05;888219
01 Andalucía;Ocio, recreo y vacaciones;2019M04;806394
01 Andalucía;Ocio, recreo y vacaciones;2019M03;550981
01 Andalucía;Ocio, recreo y vacaciones;2019M02;363934
01 Andalucía;Ocio, recreo y vacaciones;2019M01;351117
01 Andalucía;Otros motivos;2022M02;33535
01 Andalucía;Otros motivos;2022M01;40869
01 Andalucía;Otros motivos;2021M12;33492
01 Andalucía;Otros motivos;2021M11;38968
01 Andalucía;Otros motivos;2021M10;50614
01 Andalucía;Otros motivos;2021M09;52666
01 Andalucía;Otros motivos;2021M08;61238
01 Andalucía;Otros motivos;2021M07;77169
01 Andalucía;Otros motivos;2021M06;38295
01 Andalucía;Otros motivos;2021M05;20786
01 Andalucía;Otros motivos;2021M04;15437
01 Andalucía;Otros motivos;2021M03;6113
01 Andalucía;Otros motivos;2021M02;4800
01 Andalucía;Otros motivos;2021M01;11580
01 Andalucía;Otros motivos;2020M12;11141
01 Andalucía;Otros motivos;2020M11;9550
01 Andalucía;Otros motivos;2020M10;17379
01 Andalucía;Otros motivos;2020M09;16173
01 Andalucía;Otros motivos;2020M08;28929
01 Andalucía;Otros motivos;2020M07;33640
01 Andalucía;Otros motivos;2020M06;2046
01 Andalucía;Otros motivos;2020M05;
01 Andalucía;Otros motivos;2020M04;
01 Andalucía;Otros motivos;2020M03;28539
01 Andalucía;Otros motivos;2020M02;64664
01 Andalucía;Otros motivos;2020M01;64892
01 Andalucía;Otros motivos;2019M12;45837
01 Andalucía;Otros motivos;2019M11;52875
01 Andalucía;Otros motivos;2019M10;44540
01 Andalucía;Otros motivos;2019M09;47339
01 Andalucía;Otros motivos;2019M08;49065
01 Andalucía;Otros motivos;2019M07;49375
01 Andalucía;Otros motivos;2019M06;70048
01 Andalucía;Otros motivos;2019M05;58948
01 Andalucía;Otros motivos;2019M04;67720
01 Andalucía;Otros motivos;2019M03;52846
01 Andalucía;Otros motivos;2019M02;72116
01 Andalucía;Otros motivos;2019M01;44487
02 Aragón;Total de motivos del viaje;2022M02;23256
02 Aragón;Total de motivos del viaje;2022M01;28248
02 Aragón;Total de motivos del viaje;2021M12;8136
02 Aragón;Total de motivos del viaje;2021M11;12036
02 Aragón;Total de motivos del viaje;2021M10;11226
02 Aragón;Total de motivos del viaje;2021M09;.
02 Aragón;Total de motivos del viaje;2021M08;3896
02 Aragón;Total de motivos del viaje;2021M07;6519
02 Aragón;Total de motivos del viaje;2021M06;.
02 Aragón;Total de motivos del viaje;2021M05;.
02 Aragón;Total de motivos del viaje;2021M04;.
02 Aragón;Total de motivos del viaje;2021M03;1922
02 Aragón;Total de motivos del viaje;2021M02;.
02 Aragón;Total de motivos del viaje;2021M01;1501
02 Aragón;Total de motivos del viaje;2020M12;.
02 Aragón;Total de motivos del viaje;2020M11;1424
02 Aragón;Total de motivos del viaje;2020M10;1800
02 Aragón;Total de motivos del viaje;2020M09;.
02 Aragón;Total de motivos del viaje;2020M08;4243
02 Aragón;Total de motivos del viaje;2020M07;.
02 Aragón;Total de motivos del viaje;2020M06;.
02 Aragón;Total de motivos del viaje;2020M05;
02 Aragón;Total de motivos del viaje;2020M04;
02 Aragón;Total de motivos del viaje;2020M03;.
02 Aragón;Total de motivos del viaje;2020M02;21124
02 Aragón;Total de motivos del viaje;2020M01;20642
02 Aragón;Total de motivos del viaje;2019M12;17997
02 Aragón;Total de motivos del viaje;2019M11;24114
02 Aragón;Total de motivos del viaje;2019M10;16540
02 Aragón;Total de motivos del viaje;2019M09;19592
02 Aragón;Total de motivos del viaje;2019M08;18926
02 Aragón;Total de motivos del viaje;2019M07;27181
02 Aragón;Total de motivos del viaje;2019M06;19335
02 Aragón;Total de motivos del viaje;2019M05;.
02 Aragón;Total de motivos del viaje;2019M04;21875
02 Aragón;Total de motivos del viaje;2019M03;24970
02 Aragón;Total de motivos del viaje;2019M02;19962
02 Aragón;Total de motivos del viaje;2019M01;15319
02 Aragón;Negocios y otros motivos profesionales;2022M02;.
02 Aragón;Negocios y otros motivos profesionales;2022M01;.
02 Aragón;Negocios y otros motivos profesionales;2021M12;.
02 Aragón;Negocios y otros motivos profesionales;2021M11;.
02 Aragón;Negocios y otros motivos profesionales;2021M10;.
02 Aragón;Negocios y otros motivos profesionales;2021M09;.
02 Aragón;Negocios y otros motivos profesionales;2021M08;.
02 Aragón;Negocios y otros motivos profesionales;2021M07;.
02 Aragón;Negocios y otros motivos profesionales;2021M06;.
02 Aragón;Negocios y otros motivos profesionales;2021M05;.
02 Aragón;Negocios y otros motivos profesionales;2021M04;.
02 Aragón;Negocios y otros motivos profesionales;2021M03;.
02 Aragón;Negocios y otros motivos profesionales;2021M02;.
02 Aragón;Negocios y otros motivos profesionales;2021M01;.
02 Aragón;Negocios y otros motivos profesionales;2020M12;.
02 Aragón;Negocios y otros motivos profesionales;2020M11;.
02 Aragón;Negocios y otros motivos profesionales;2020M10;.
02 Aragón;Negocios y otros motivos profesionales;2020M09;.
02 Aragón;Negocios y otros motivos profesionales;2020M08;.
02 Aragón;Negocios y otros motivos profesionales;2020M07;.
02 Aragón;Negocios y otros motivos profesionales;2020M06;.
02 Aragón;Negocios y otros motivos profesionales;2020M05;
02 Aragón;Negocios y otros motivos profesionales;2020M04;
02 Aragón;Negocios y otros motivos profesionales;2020M03;.
02 Aragón;Negocios y otros motivos profesionales;2020M02;.
02 Aragón;Negocios y otros motivos profesionales;2020M01;.
02 Aragón;Negocios y otros motivos profesionales;2019M12;.
02 Aragón;Negocios y otros motivos profesionales;2019M11;.
02 Aragón;Negocios y otros motivos profesionales;2019M10;.
02 Aragón;Negocios y otros motivos profesionales;2019M09;.
02 Aragón;Negocios y otros motivos profesionales;2019M08;.
02 Aragón;Negocios y otros motivos profesionales;2019M07;.
02 Aragón;Negocios y otros motivos profesionales;2019M06;.
